DAYS_PK,YEAR,MONTH,NUM_WD,NUM_WE,REMARKS,SYS_CREATE_TIME,SYS_MODIFY_TIME,LOAD_TABLE,LOAD_DATETIME,LOAD_USER
11505,1991,9,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11506,1991,10,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11507,1991,11,18,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11508,1991,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11509,1992,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11510,1992,2,19,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11511,1992,3,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11512,1992,4,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11513,1992,5,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11514,1992,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11515,1992,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11516,1992,8,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11517,1992,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11518,1992,10,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11519,1992,11,17,13,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11520,1992,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11521,1993,1,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11522,1993,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11523,1993,3,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11524,1993,4,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11525,1993,5,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11526,1993,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11527,1993,7,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11528,1993,8,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11529,1993,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11530,1993,10,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11531,1993,11,19,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11532,1993,12,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11533,1994,1,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11534,1994,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11535,1994,3,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11536,1994,4,19,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11537,1994,5,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11538,1994,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11539,1994,7,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11540,1994,8,23,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11541,1994,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11542,1994,10,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11543,1994,11,18,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11544,1994,12,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11545,1995,1,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11546,1995,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11547,1995,3,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11548,1995,4,19,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11549,1995,5,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11550,1995,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11551,1995,7,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11552,1995,8,23,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11553,1995,9,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11554,1995,10,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11555,1995,11,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11556,1995,12,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11557,1996,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11558,1996,2,20,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11559,1996,3,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11560,1996,4,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11561,1996,5,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11562,1996,6,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11563,1996,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
